OID_;Description;plot_id;PERIOD;radius;Radie_utsok;datum;east;north;Huggningsklass;Agoslag;Agoslag_utsok;Biomass_above;Biomass_below;Basal_area;Basal_Area_Pine;Basal_Area_Spruce;Basal_Area_Contorta;Volume;Volume_Pine;Volume_Spruce;Volume_Contorta;Dgv;Hgv;Mean_Age_basal_area_weighted;Ruta;Block;Skanndatum;leaveson;scanner_type;Region;N;E;id;antalTillvAr;species_type 
15014;2.02E+11;201720272050;0;7;7;2017-06-03 00:00;748815;7254551;23;1;1;20.34787598;8.274440534;7.59327575;1.384;1.978;0;22.38466877;4.22;5.73;0;7.8;4.44;33.8;72525_7475_25;18G002;2018-07-16 00:00;1;0;0;7252500;747500;18G002_72525_7475_25;1;75
15015;2.02E+11;201720272100;0;7;7;2017-06-03 00:00;748815;7254051;23;1;1;8.425522148;2.595704056;3.474834023;5.854;0;0;12.67743646;21.636;0;0;10.2;5.2;30.6;72525_7475_25;18G002;2018-07-16 00:00;1;0;0;7252500;747500;18G002_72525_7475_25;1;82
15016;2.02E+11;201720273050;0;7;7;2017-06-03 00:00;748315;7253551;31;1;1;27.74740578;8.850635222;9.847774488;9.864;0;0;43.90379678;44.102;0;0;13.4;8.06;38.1;72525_7475_25;18G002;2018-07-16 00:00;1;0;0;7252500;747500;18G002_72525_7475_25;1;93
15017;2.02E+11;201720273100;0;7;7;2017-06-03 00:00;747815;7253551;31;1;1;21.55142444;6.805058057;8.844224717;8.842;0;0;40.27394572;40.49;0;0;9.96;8.2;43.4;72525_7475_25;18G002;2018-07-16 00:00;1;0;0;7252500;747500;18G002_72525_7475_25;1;97
15018;2.02E+11;201720273150;0;7;7;2017-06-03 00:00;747315;7253551;31;1;1;34.06932025;11.04344369;10.90814181;10.89;0.004;0;67.00427887;68.254;0.012;0;14.7;12.1;52.1;72525_7450_25;18G002;2018-07-16 00:00;1;0;0;7252500;745000;18G002_72525_7450_25;1;98
15019;2.02E+11;201720274050;0;7;7;2017-06-03 00:00;747315;7254051;21;1;1;0.212;0.086;0.00396;0;0.004;0;0.282;0.39;0.214;0;0.34;0.16;0;72525_7450_25;18G002;2018-07-16 00:00;1;0;0;7252500;745000;18G002_72525_7450_25;1;98
15020;2.02E+11;201720274100;0;7;7;2017-06-03 00:00;747315;7254551;22;1;1;0.09;0.126;0.03722;0.024;0;0;0.174;0.398;0.01;0;0.36;0.34;0;72525_7450_25;18G002;2018-07-16 00:00;1;0;0;7252500;745000;18G002_72525_7450_25;1;83
15021;2.02E+11;201720274150;0;7;7;2017-06-03 00:00;747315;7255051;31;1;1;10.21620499;3.327640699;3.788313291;3.684;0;0;15.03656055;14.278;0;0;11.96;6.72;43.7;72550_7450_25;18G002;2018-07-16 00:00;1;0;0;7255000;745000;18G002_72550_7450_25;1;100
15022;2.02E+11;201726532060;0;10;10;2017-06-20 00:00;729113;7246492;31;1;1;82.40329962;29.12193522;24.87371505;15.888;5.684;0;145.9637199;108.952;26.534;0;14.8;11.5;53.2;72450_7275_25;19G026;2019-08-27 00:00;1;0;0;7245000;727500;19G026_72450_7275_25;2;77
15023;2.02E+11;201726533060;0;10;10;2017-06-20 00:00;728504;7245878;31;1;1;75.76630962;27.15371129;20.5976645;9.978;6.728;0;126.7850629;70.672;40.672;0;17.3;12.46;69.4;72450_7275_25;19G026;2019-08-27 00:00;1;0;0;7245000;727500;19G026_72450_7275_25;2;96
15024;2.02E+11;201726591120;0;10;10;2017-06-12 00:00;741768;7257256;31;1;1;34.9702521;11.22008791;11.78430346;11.31;0.44;0;65.17082113;64.612;1.384;0;13.66;10.64;43.6;72550_7400_25;18G002;2018-07-16 00:00;1;0;0;7255000;740000;18G002_72550_7400_25;1;100
15025;2.02E+11;201726592120;0;10;10;2017-06-12 00:00;741807.532;7256091.757;31;1;1;40.33810565;13.81631948;13.01665914;6.144;4.796;0;53.66768788;30.948;14.65;0;12.02;7.66;47.3;72550_7400_25;18G002;2018-07-16 00:00;1;0;0;7255000;740000;18G002_72550_7400_25;1;91
15026;2.02E+11;201726593060;0;10;10;2017-06-12 00:00;741206.217;7256053.341;23;1;1;23.18222221;9.588366072;9.276688783;2.39;0;0;29.32868434;8.228;0;0;8.52;5.9;36.5;72550_7400_25;18G002;2018-07-16 00:00;1;0;0;7255000;740000;18G002_72550_7400_25;1;100
